,timeOnPage,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,interaction_count,mobile,x,y
0,152349,3566.0,14,0,153,70,49,10,4,21,18,21,18,1,0,6,4,0,5425,43824,41226,3869,43367,596,39,0,4.067703,-1.3892962
1,303196,2649.0,7,0,127,69,0,0,6,6,14,6,14,0,1,4,2,1,65697,71680,46082,46615,0,0,20,0,4.347561,-0.45697185
2,162588,3344.0,7,0,210,89,10,2,0,24,18,24,18,2,0,2,4,0,7817,58579,34962,35043,4355,0,42,0,4.723964,0.16266213
3,960606,3429.0,17,0,58,27,16,4,2,12,8,12,8,0,0,4,4,0,4308,27911,11543,23736,884688,6920,20,0,3.8053598,-5.849367
4,83787,2206.39990234375,5,0,25,12,10,0,2,4,4,4,4,0,0,0,0,0,14551,35425,30091,1046,0,0,8,0,3.9908943,2.0306156
5,52666,1156.0,6,0,32,26,4,0,0,6,6,6,6,0,0,0,0,0,1532,2420,949,0,0,0,12,0,8.576926,5.759027
6,169188,3912.800048828125,10,0,114,81,15,0,0,6,4,6,4,0,0,2,2,0,2751,23845,12934,52866,22481,53899,10,0,2.9097342,-3.6687958
7,53606,3653.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8212,7239,15410,8710,2765,2345,0,0,6.474678,0.459686
8,136583,3408.0,7,0,9,0,14,0,0,4,0,4,0,0,0,0,0,0,645,8341,901,1018,432,0,4,0,8.220731,5.42471
9,33060,1338.0,2,0,61,16,9,2,0,4,2,4,2,0,0,0,0,0,23305,6433,698,0,0,0,6,0,0.60294163,7.517134
10,47100,3296.0,5,0,47,23,0,0,0,10,6,10,6,0,0,4,4,0,17786,7585,1634,19203,568,0,16,0,5.0707307,-3.2150123
11,76075,3450.0,6,0,70,42,0,0,0,8,6,8,6,0,0,4,2,0,26655,2911,10132,10094,21283,0,14,0,3.6563733,-2.991693
12,3217,3578.0,4,0,9,6,0,0,0,6,4,6,4,0,0,0,0,0,757,849,100,184,683,34,10,0,-0.91378844,-1.1729378
