,timeOnPage,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,interaction_count,mobile,x,y
0,152349,3566.0,14,0,153,70,49,10,4,21,18,21,18,1,0,6,4,0,5425,43824,41226,3869,43367,596,39,0,-2.836599,3.0941112
1,303196,2649.0,7,0,127,69,0,0,6,6,14,6,14,0,1,4,2,1,65697,71680,46082,46615,0,0,20,0,-3.083029,-0.7967123
2,162588,3344.0,7,0,210,89,10,2,0,24,18,24,18,2,0,2,4,0,7817,58579,34962,35043,4355,0,42,0,-3.3733406,1.373281
3,960606,3429.0,17,0,58,27,16,4,2,12,8,12,8,0,0,4,4,0,4308,27911,11543,23736,884688,6920,20,0,-0.5191839,5.514252
4,83787,2206.39990234375,5,0,25,12,10,0,2,4,4,4,4,0,0,0,0,0,14551,35425,30091,1046,0,0,8,0,-1.1475421,2.1541996
5,52666,1156.0,6,0,32,26,4,0,0,6,6,6,6,0,0,0,0,0,1532,2420,949,0,0,0,12,0,-3.5911689,-5.622718
6,169188,3912.800048828125,10,0,114,81,15,0,0,6,4,6,4,0,0,2,2,0,2751,23845,12934,52866,22481,53899,10,0,-3.9251373,5.3092303
7,53606,3653.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8212,7239,15410,8710,2765,2345,0,0,-4.0280385,0.40329456
8,136583,3408.0,7,0,9,0,14,0,0,4,0,4,0,0,0,0,0,0,645,8341,901,1018,432,0,4,0,-3.380755,-5.034836
9,33060,1338.0,2,0,61,16,9,2,0,4,2,4,2,0,0,0,0,0,23305,6433,698,0,0,0,6,0,4.450878,-3.1510894
10,47100,3296.0,5,0,47,23,0,0,0,10,6,10,6,0,0,4,4,0,17786,7585,1634,19203,568,0,16,0,-5.118982,-2.3362305
11,76075,3450.0,6,0,70,42,0,0,0,8,6,8,6,0,0,4,2,0,26655,2911,10132,10094,21283,0,14,0,-1.7027553,3.5028672
12,3217,3578.0,4,0,9,6,0,0,0,6,4,6,4,0,0,0,0,0,757,849,100,184,683,34,10,0,0.6417967,-1.1314727
13,189636,3041.333251953125,5,0,24,12,3,0,0,2,6,2,6,0,0,0,0,0,870,10754,1411,5299,566,0,8,0,-3.8469398,-5.0277286
14,90935,3394.40576171875,7,0,135,32,11,2,4,4,6,4,6,1,1,2,2,1,4994,18487,27656,5008,30801,0,10,0,-3.0272627,3.3851125
15,86045,3242.0,7,0,104,71,0,2,2,12,14,12,14,0,0,2,4,0,40417,901,10738,27496,433,0,26,0,-4.701921,-2.4624205
16,109219,3217.0,5,0,149,57,13,0,0,8,6,8,6,0,0,2,2,0,229,29618,16010,40748,2340,0,14,0,-6.1772575,-0.012334497
17,158997,3361.0,12,0,131,72,36,8,4,17,12,17,12,2,0,2,2,0,49840,35738,41738,24720,6284,0,29,0,-2.3597589,-0.61162776
18,61604509,3565.0,14,0,1452,138,0,0,0,22,14,22,14,0,0,2,4,0,61544552,10048,3074,39561,1106,3907,36,0,7.3530436,-10.342339
19,229405,3421.0,11,0,248,124,30,18,58,35,74,35,74,0,0,4,8,0,58653,53270,19265,40037,14199,0,109,0,-3.0962863,-0.80440414
20,125066,3648.0,6,0,13,7,0,0,0,2,2,2,2,0,0,0,0,0,21202,3376,36628,13648,1382,166,4,0,-3.8199627,-0.14673643
21,93853,3240.0,5,0,126,49,35,2,2,6,6,6,6,0,0,2,2,0,4257,18758,18888,34931,2183,0,12,0,-6.7296777,0.26566738
22,50642,1699.0,3,0,12,16,2,2,0,10,4,10,4,0,0,0,0,0,217,1000,1216,0,0,0,14,0,-3.8096328,-5.9575524
23,288000,3573.199951171875,11,0,199,80,8,4,6,18,14,18,14,2,2,2,2,2,41668,77537,83872,70703,9033,3452,32,0,-3.9583054,0.59955823
24,111345,3341.0,5,0,7,87,0,0,4,2,14,2,14,0,1,4,0,1,199,12693,54002,10213,5131,0,16,0,-5.926482,3.2618213
25,2942,3423.0,4,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0,34,366,350,499,168,44,4,0,0.68061566,-1.2749928
26,120866,1876.0,5,0,59,70,24,4,6,10,12,10,12,1,1,0,0,1,27591,54017,36071,0,0,0,22,0,-0.44176912,1.5747908
27,33113,370.0,5,0,27,31,0,0,0,4,4,4,4,0,0,0,0,0,30643,0,0,0,0,0,8,0,6.7204356,-7.7094617
28,632591,3538.0,15,0,104,86,34,8,6,18,22,18,22,1,2,2,4,2,389887,40379,90010,25270,10999,9528,40,0,2.2235835,-3.7427337
29,41654,2993.0,5,0,18,32,15,0,0,6,10,6,10,0,0,6,2,0,88,7219,16096,14745,28,0,16,0,-7.239802,1.8532377
30,7550,3103.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369,1427,1850,1201,0,0,0,0,-0.45470235,-1.0627005
31,146259,3236.0,5,0,229,121,1,16,14,25,30,25,30,1,1,8,6,1,284,10291,58683,47407,668,0,55,0,-7.5236235,2.1108124
32,25284,4015.0,10,0,31,0,0,0,0,4,0,4,0,0,0,0,0,0,299,14545,5810,2178,333,1769,4,0,0.17965163,3.120688
33,198336,3305.0,5,0,189,82,0,4,8,20,20,20,20,0,1,2,2,1,3086,3965,91408,25174,604,0,40,0,-6.15118,2.9181473
34,233347,3762.0,20,0,150,87,35,10,8,26,18,26,18,1,0,6,6,0,62716,72895,41105,34255,13404,5168,44,0,-2.0964067,0.085380845
35,60480,3086.0,7,0,118,59,0,0,0,5,6,5,6,0,0,4,2,0,349,16105,617,32160,684,0,11,0,-7.197029,-1.1070583
36,110269,2744.0,12,0,73,43,0,2,4,14,16,14,16,0,0,10,4,0,2141,9794,13565,27727,0,0,30,0,-6.5105643,-0.43170255
37,84527977,3450.0,15,0,255,67,0,8,2,16,14,16,14,2,0,4,2,0,6096,12037,47205,68577,13092,84327000,30,0,-1.8369261,9.300035
38,6005,232.0,0,0,18,0,0,0,0,6,0,6,0,0,0,0,0,0,615,0,0,0,0,0,6,0,-1.5511148,-5.824201
39,181167,2933.0,4,0,174,107,23,6,4,19,10,19,10,0,0,2,4,0,1883,63291,56757,39339,416,0,29,0,-3.8931777,1.7786747
40,121116,3199.0,5,0,34,45,0,0,0,8,6,8,6,0,0,2,2,0,84,20468,4667,13886,88,0,14,0,-3.5200288,-2.8684475
41,208112,3439.0,6,0,225,86,30,10,6,26,16,26,16,1,1,2,4,1,4049,55781,50499,49164,6267,0,42,0,-4.761141,1.3271655
42,293824,3603.0,6,0,265,96,6,6,8,30,20,30,20,1,0,4,4,0,9493,49132,102854,50961,17297,13749,50,0,-5.3408704,2.3205726
43,213249,3532.0,6,0,277,66,34,4,0,14,12,14,12,1,0,6,4,0,6071,64369,40881,54542,6739,134,26,0,-4.2383504,1.0144274
44,32873,2130.0,3,0,12,10,0,0,0,2,2,2,2,0,0,0,0,0,1017,3600,1582,35,0,0,4,0,-2.6603663,-3.860993
45,124254,3723.0,10,0,181,131,6,0,0,94,94,94,94,0,0,4,6,0,31161,24928,2880,1477,23133,1091,188,0,-1.4976183,3.0061297
46,53403,1902.0,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,25446,1334,602,0,0,0,4,0,1.3994867,-4.4823694
47,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1570888,0.7570405
48,208207,3703.0,11,0,83,51,23,4,6,31,28,31,28,0,0,4,0,0,24583,68047,72166,36773,5862,662,59,0,-3.537987,1.6854275
49,154077,3669.0,6,0,147,90,18,4,4,12,8,12,8,1,1,2,2,1,47447,11827,35889,45761,7088,1933,20,0,-4.788675,-1.7367258
50,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1195786,0.6169995
51,91364,3364.0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15758,24535,33987,10367,3974,0,1,0,-3.1875753,1.1575576
52,37792,3630.0,8,0,12,12,0,0,0,2,2,2,2,0,0,0,0,0,26231,5350,1905,1307,246,1297,4,0,3.662093,-3.7027254
53,19138816,3485.0,6,0,235,68,51,2,0,6,4,6,4,0,0,0,0,0,3443,86360,111162,3219,1967,100,10,0,-5.8736706,-6.8126516
54,10190,3530.0,5,0,5,1,0,0,0,2,2,2,2,0,0,0,0,0,576,3435,832,557,72,0,4,0,-0.25662416,0.04234257
55,123507,3374.0,12,0,222,63,12,4,6,30,28,30,28,0,0,8,12,0,3585,12631,8733,57265,4249,0,58,0,-7.8025193,-1.6025692
56,563210,3550.0,14,0,130,67,21,2,2,10,14,10,14,0,0,8,4,0,33212,27146,17868,35106,2035,1404,24,0,-4.269263,-4.3466783
57,109135,3676.0,9,0,0,0,0,0,0,6,3,6,3,0,0,1,2,0,7921,0,16783,18801,20251,3239,9,0,-4.254133,2.658504
58,71640,3588.0,7,0,16,6,7,2,0,6,4,6,4,0,0,2,0,0,5282,4049,5218,5233,1084,766,10,0,-3.6946979,-3.8077378
59,28695,3350.0,15,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,7149,1901,4632,7233,1701,0,2,0,-4.4330525,-1.7635483
60,63524,1092.0,2,0,59,58,1,0,0,14,12,14,12,0,0,0,0,0,15170,45588,0,0,0,0,26,0,4.1491036,3.8612704
61,94761,3487.0,10,0,75,48,0,0,0,4,6,4,6,0,0,2,0,0,257,2943,41556,13627,9579,1083,10,0,-5.9887767,2.9271522
62,144117,3211.0,5,0,145,90,25,4,2,12,12,12,12,0,0,2,2,0,166,16280,57427,25052,1668,0,24,0,-6.0967717,2.5386426
63,282262,3299.0,6,0,223,93,35,8,14,14,22,14,22,1,1,4,2,1,634,61228,97977,67942,7483,0,36,0,-5.756422,1.9551066
64,159884,3741.666748046875,17,0,20,30,1,0,0,6,4,6,4,0,0,0,0,0,37,296,924,466,517,14145,10,0,-4.1938868,-5.9033103
65,182052,3386.0,9,0,208,51,23,4,6,24,18,24,18,2,0,4,6,0,22651,13817,38386,63103,7451,0,42,0,-6.5902033,-0.6500588
66,129308,3222.0,5,0,172,69,38,2,4,12,10,12,10,0,0,2,2,0,13170,45539,21270,40691,1284,0,22,0,-4.1376586,0.33526236
67,184079,3282.0,7,0,157,64,19,6,6,16,14,16,14,2,0,2,2,0,960,10517,59654,54379,682,0,30,0,-7.3216243,1.5388405
68,87807,3456.0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,81152,1,0,-1.9404144,8.924575
69,29469,3653.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,17415,11637,0,0,-1.8320125,5.162765
70,63025,3080.0,5,0,29,17,19,2,0,10,4,10,4,0,0,0,0,0,784,36843,6944,1620,1011,0,14,0,0.66606647,3.4700193
71,112864,3415.0,17,0,0,0,0,0,0,3,0,3,0,4,1,0,1,1,6841,30136,38501,11174,3917,0,3,0,-3.647572,2.0560653
72,164358,3316.0,5,0,211,128,0,2,2,6,6,6,6,1,0,2,2,0,37182,7283,78117,38082,650,0,12,0,-5.2530355,1.059127
73,9852,1353.0,3,0,7,7,2,0,0,1,2,1,2,0,0,0,0,0,134,984,82,0,0,0,3,0,-1.9076506,-3.5962398
74,220197,3607.0,5,0,202,91,11,4,4,16,10,16,10,1,1,2,2,1,157,6294,30792,43707,10618,3364,26,0,-6.3382764,-0.57034785
75,142580,3358.0,6,0,105,107,0,6,0,12,14,12,14,1,0,4,2,0,33170,30187,38627,28890,6989,0,26,0,-3.838525,-0.36750302
76,585685,3204.0,8,0,304,114,9,6,4,24,8,24,8,0,0,2,8,0,3614,65382,116476,118925,1735,0,32,0,-6.1266284,0.4497348
77,282449,2973.0,7,0,19,47,5,0,2,6,6,6,6,0,0,0,0,0,6616,9685,29303,8701,183,0,12,0,-3.9092994,-3.7479663
