,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
0,168126,10600.0,12,67,2,5,35.0,2,1,266,3430,11923,5362,27797,64537,37360,0,-34.255127,-30.980509
1,191968,6271.0,6,0,0,1,0.0,2,0,18585,10408,12507,5507,2463,0,0,0,-55.934982,-28.538214
2,489196,10354.0,10,61,0,3,146.0,0,0,47332,30465,29166,64998,149745,138187,24208,0,0.17365701,-51.683964
3,428613,7323.0,5,45,0,1,16.0,1,0,25511,26154,13332,335660,3374,18592,0,0,14.105284,-38.707253
4,34341,1962.0,4,0,0,0,1.0,1,0,2810,29337,0,0,0,0,0,0,-6.6256533,11.686735
5,118635,10359.5,6,31,0,10,8.0,0,0,0,12751,20824,15108,18264,9260,38128,0,-48.81949,-9.636478
6,50909,7076.0,6,0,0,3,0.0,2,0,4194,7471,6503,5035,4820,14189,0,0,-30.54787,30.579723
7,17319,6948.7998046875,11,0,0,1,0.0,2,0,1092,2483,5395,3872,1283,129,0,0,18.973986,28.676126
8,190438,7442.0,8,45,2,9,5.0,2,2,6862,19278,38196,9658,38940,30415,0,0,-28.431376,-30.91442
9,61738,7958.0,15,0,0,0,0.0,2,0,7521,8272,16810,1761,4214,6247,0,0,-33.189266,16.920252
10,23337,11236.0,11,0,0,1,0.0,2,0,481,2835,2470,4632,2031,2491,2782,0,9.823506,43.377163
11,71486,7299.33349609375,6,0,0,4,17.0,2,0,2762,8287,5652,2634,2746,18816,0,0,-42.689175,15.013209
12,3071857,1710.0,3,0,0,0,2.0,2,0,938,5013,0,0,0,0,0,0,40.462917,-35.29724
13,826927,10088.0,15,0,2,7,0.0,2,1,55466,2166,4210,443781,80688,91604,3039,0,17.866777,-38.46603
14,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,-10.373623,69.95841
15,63551,6197.0,5,0,0,1,0.0,0,0,2351,18678,9972,10108,4378,0,0,0,-24.768394,8.174689
16,579184,7762.0,6,0,0,1,0.0,2,0,136,3136,3426,458,1239,932,0,0,9.573051,-66.29484
17,80741,9120.0,4,29,2,6,34.0,1,1,818,1600,6699,5399,1633,39917,23475,0,-49.695923,8.037187
18,875027,7638.0,11,60,2,1,28.0,2,2,38348,86930,189270,242317,228569,78508,0,0,20.808228,-51.47872
19,214225,7699.0,6,0,0,1,76.0,2,0,60820,47600,46853,25674,5268,11581,0,0,-12.067392,-19.48312
20,58675,12917.0,11,82,0,3,1.0,2,0,1206,5448,4142,7590,2887,9458,16731,0,-29.427729,39.668095
21,444692,12417.0,13,0,0,1,39.0,2,0,43063,57741,14532,2517,1081,4273,6941,0,2.9135418,-66.07127
22,140571,13121.0,11,0,0,1,0.0,2,0,1050,666,1086,2702,1848,718,4869,0,-57.725143,-22.113544
23,185656,11185.0,8,0,0,5,44.0,2,0,5765,30805,44507,8301,9302,38990,39557,0,-35.667892,-35.90785
24,1453636,10799.0,13,0,0,1,23.0,1,0,869747,9485,24017,543357,1334,1167,2177,0,26.333565,-27.493507
25,97039,12753.0,11,90,2,1,0.0,2,1,7828,6667,24025,8666,2784,23839,8236,0,-42.18479,2.0782402
26,70333,11154.0,13,0,2,1,0.0,2,1,1945,4571,11676,8211,14304,6398,1362,0,-35.860847,13.235811
27,92143,8410.0,8,24,0,4,23.0,2,0,5178,925,15333,6584,28306,21001,11784,0,-40.34482,-1.9189502
28,25067,6672.0,6,0,0,1,1.0,2,0,968,5569,4407,4934,3088,164,0,0,4.859813,31.086693
29,34891,7077.0,5,0,0,4,0.0,0,0,11676,4739,2357,1364,516,10675,0,0,-6.152074,29.566593
30,34838,10481.0,3,0,0,1,0.0,0,0,15219,9449,0,0,0,0,7598,0,1.5050248,9.981185
31,72063,11711.0,5,0,0,0,8.0,0,0,116,349,335,366,434,61332,5917,0,-52.213604,11.111314
32,108827199,4402.0,4,0,0,0,7.0,2,0,11430,74043,28119,866,0,0,0,0,55.007626,-26.53786
33,392936,9235.0,5,32,0,1,78.0,0,0,26338,51201,4361,62391,168288,51612,1693,0,-4.118526,-47.48562
34,198193,12576.0,6,13,0,1,50.0,2,0,716,4216,140779,2917,900,13873,7069,0,-14.740232,-28.049809
