,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
0,168126,10600.0,12,67,2,5,35.0,2,1,266,3430,11923,5362,27797,64537,37360,0,8.252386,4.767894
1,191968,6271.0,6,0,0,1,0.0,2,0,18585,10408,12507,5507,2463,0,0,0,2.3025436,-1.2512965
2,489196,10354.0,10,61,0,3,146.0,0,0,47332,30465,29166,64998,149745,138187,24208,0,10.466214,3.0744014
3,428613,7323.0,5,45,0,1,16.0,1,0,25511,26154,13332,335660,3374,18592,0,0,12.386674,-1.4232332
4,34341,1962.0,4,0,0,0,1.0,1,0,2810,29337,0,0,0,0,0,0,9.25536,-5.9754467
5,118635,10359.5,6,31,0,10,8.0,0,0,0,12751,20824,15108,18264,9260,38128,0,5.983174,3.7340598
6,50909,7076.0,6,0,0,3,0.0,2,0,4194,7471,6503,5035,4820,14189,0,0,8.160166,2.7023482
7,17319,6948.7998046875,11,0,0,1,0.0,2,0,1092,2483,5395,3872,1283,129,0,0,6.428992,-0.41884127
8,190438,7442.0,8,45,2,9,5.0,2,2,6862,19278,38196,9658,38940,30415,0,0,9.591713,1.6099048
9,61738,7958.0,15,0,0,0,0.0,2,0,7521,8272,16810,1761,4214,6247,0,0,7.611802,-0.36157036
10,23337,11236.0,11,0,0,1,0.0,2,0,481,2835,2470,4632,2031,2491,2782,0,4.653952,1.28777
11,71486,7299.33349609375,6,0,0,4,17.0,2,0,2762,8287,5652,2634,2746,18816,0,0,6.961134,2.5744395
12,3071857,1710.0,3,0,0,0,2.0,2,0,938,5013,0,0,0,0,0,0,-0.78739834,0.15216927
13,826927,10088.0,15,0,2,7,0.0,2,1,55466,2166,4210,443781,80688,91604,3039,0,11.453328,-0.870106
14,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,16.46428,16.355906
