,timeOnPage,userAgent,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,playLinear,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,x,y
0,152349,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,3566.0,14,0,153,70,49,10,4,21,18,21,18,0,1,0,6,4,0,5425,43824,41226,3869,43367,596,-3.182081460952759,1.490153193473816
1,303196,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2649.0,7,0,127,69,0,0,6,6,14,6,14,0,0,1,4,2,1,65697,71680,46082,46615,0,0,1.7104426622390747,-0.8849624991416931
2,162588,Mozilla/5.0 (X11; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,3344.0,7,0,210,89,10,2,0,24,18,24,18,0,2,0,2,4,0,7817,58579,34962,35043,4355,0,-0.48266154527664185,-0.4398982524871826
3,960606,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3429.0,17,0,58,27,16,4,2,12,8,12,8,0,0,0,4,4,0,4308,27911,11543,23736,884688,6920,-6.601133346557617,1.919546365737915
4,83787,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,2206.39990234375,5,0,25,12,10,0,2,4,4,4,4,0,0,0,0,0,0,14551,35425,30091,1046,0,0,0.3311326503753662,1.0221713781356812
5,52666,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1156.0,6,0,32,26,4,0,0,6,6,6,6,0,0,0,0,0,0,1532,2420,949,0,0,0,-3.575678586959839,5.8455915451049805
6,169188,"Mozilla/5.0 (X11; CrOS armv7l 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",3912.800048828125,10,0,114,81,15,0,0,6,4,6,4,0,0,0,2,2,0,2751,23845,12934,52866,22481,53899,-1.839043140411377,-3.072267770767212
7,53606,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",3653.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8212,7239,15410,8710,2765,2345,-1.896470546722412,-0.282461017370224
8,136583,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3408.0,7,0,9,0,14,0,0,4,0,4,0,0,0,0,0,0,0,645,8341,901,1018,432,0,-3.435520887374878,5.425899028778076
9,33060,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15",1338.0,2,0,61,16,9,2,0,4,2,4,2,0,0,0,0,0,0,23305,6433,698,0,0,0,4.442342281341553,4.930148124694824
10,47100,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:61.0) Gecko/20100101 Firefox/61.0,3296.0,5,0,47,23,0,0,0,10,6,10,6,0,0,0,4,4,0,17786,7585,1634,19203,568,0,2.7802271842956543,-3.273228168487549
