,timeOnPage,maxDepth,isInTune,clean,playRiff,playReference,autotuneGuitar,playNotes,playBeats,beatDiff,vizMode,guitarState,currentFrequency,targetString,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,timeSect7,timeSect8,timeSect9,timeSect10,timeSect11,timeSect12,timeSect13,x,y
0,150458,10030,0,1,0,2,2,0,0,0,0,5,32,22,180,1070,3532,806,1554,11462,804,1032,614,1316,1026,274,570,216,-4.057798733,-1.070453439
1,342324,10812,17,1,2,2,4,0,0,0,0,5,453,222,282,15144,122904,377,20639,36092,4797,1568,1059,1644,4035,4973,3703,122354,0.918964101,1.154631694
2,63704,5448,0,0,0,2,2,0,0,0,0,5,13,9,854,3475,2016,2467,3058,2872,40783,1080,6201,0,0,0,0,0,-1.989288376,-1.810706117
3,8188,5594,0,0,0,1,0,0,0,0,0,5,6,6,150,1649,1067,116,1033,1451,1433,818,32,0,0,0,0,0,-4.053691532,1.881189687
4,64040,2491,0,0,0,0,0,0,0,0,0,5,53,5,866,2167,49501,5368,3932,0,0,0,0,0,0,0,0,0,2.739026257,-5.643624607
5,187108,10337,1,1,2,2,2,0,0,0,0,5,130,61,59,19209,844,70640,6446,26796,3989,464,1258,1598,4838,8940,8671,3756,-5.374337974,1.311345373
6,282261,11876.36328,0,1,0,2,4,2,2,0,0,11,222,110,112,1649,616,112125,7357,13747,3016,334,1668,168,1401,16479,2002,15263,-5.49041388,1.609625034
7,26705,9352,0,1,0,2,2,0,0,0,0,5,6,6,868,3916,3035,249,4185,1832,4485,983,417,884,800,3017,934,35,-2.239090617,1.059873086
8,86744,3033,0,0,0,0,0,0,0,0,0,3,95,29,798,3046,70822,4988,3188,0,0,0,0,0,0,0,0,0,2.718545056,-6.233495288
9,5272,29,0,0,0,0,0,0,0,0,0,0,0,0,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.723030558,-4.746964114
10,983964,8041,0,1,0,2,2,0,0,0,0,5,60,32,2380,11141,43363,11610,708,8562,1073,4896,1090,2273,10436,6386,0,0,-5.455409428,-1.118121871
11,2487,10602,0,1,0,1,2,0,0,0,0,5,6,6,31,0,23,0,32,0,24,0,0,0,0,0,28,0,-4.126513808,5.404957645
