,user,visit,x,y,maxDepth,medDepth,meanDepth,timeOnPage,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,timeSect7,timeSect8,timeSect9,timeSect10,timeSect11,timeSect12,autotuneGuitar,beatDiff,clean,currentFrequency,detuneGuitar,freq2InView,freq3InView,freqInView,guitarState,isInTune,playBeats,playNotes,playReference,playRiff,playScale,targetNote,targetString,tunerVisualization,vizMode,waveInView
0,003K49MiOqOmvPRheuKGM2og31D2,1,-0.6106718487204469,12.455554292411449,618.0,505.0,376.8360655737705,9491.0,8551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,00FOXZAqYXaVSCpj4EczRG3bBTE3,1,-3.7614807699399617,0.27249473570598837,2894.0,1234.5,1372.4949238578681,12954.0,-4390.0,4911.0,1354.0,1441.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,00GVm8iHLUSDR64QKe49k4xasA62,1,-5.082511015342318,3.896997560792833,7521.0,2202.0,2870.4405250205086,237365.0,6893.0,68589.0,15423.0,17485.0,7398.0,41566.0,17175.0,34827.0,11014.0,4041.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,00I0BieH3tWaJOMhMgteeOGlcsL2,1,-0.12311495181549982,-5.624688007382837,9459.0,4514.5,4644.976775956284,152060.0,-220179.0,17882.0,10920.0,20498.0,15339.0,19493.0,27569.0,2542.0,5676.0,3316.0,10115.0,1524.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,00tLBQ2YCUb11pgkStfwG0tsYYf1,1,-1.553066453238606,0.16124412588648046,7560.0,1500.0,2633.507014028056,253703.0,-106862.0,1612.0,123138.0,9007.0,47532.0,7000.0,2350.0,4000.0,12750.0,1116.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,019N6kOkEwcxW0JY9dYpnCXRnUz2,1,1.4467661317169473,-4.73326115860065,7688.0,3814.5,3835.8541666666665,119659.0,-241346.0,14388.0,6146.0,18335.0,4852.0,7699.0,8546.0,6486.0,27401.0,13449.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
6,01SvnPHU65g9fUA2GlcVeCYuehd2,1,2.3971971159817214,-5.282606712870377,8416.0,4374.0,4181.739714525609,46945.0,-114871.0,2001.0,7245.0,5549.0,3061.0,4022.0,3209.0,4000.0,7924.0,2825.0,2321.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,02sHMmLOWiaP1jmgPlSfbtFtYp23,1,-0.8827422333113106,-5.1924683474951845,5988.0,2952.0,2813.543130990415,32646.0,-43042.0,3624.0,4061.0,4227.0,8273.0,4799.0,1342.0,1678.0,739.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,02xeQS4XC7WX5lhsGW6l2uhJLq93,1,-6.1759862828859795,-0.44035187454550234,12095.0,6609.0,6543.5906195715115,105377.0,-30086.0,1049.0,13204.0,3419.0,1644.0,424.0,361.0,23664.0,11610.0,9348.0,33037.0,5057.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,02xeQS4XC7WX5lhsGW6l2uhJLq93,3,7.37132240609835,-3.636331109195899,12106.0,973.5,4166.08904109589,17189.0,-96945.0,165.0,370.0,141.0,169.0,405.0,0.0,323.0,434.0,636.0,313.0,5801.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,039OYC4z6rQxxTN43hz7UjA7zIy1,1,-7.378597717454009,2.180796391270831,7405.0,4043.5,4016.784090909091,151544.0,3119.0,7116.0,14481.0,15434.0,12832.0,4802.0,19957.0,12309.0,32937.0,11368.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,044ZASEsCAWkkJxNNVg2euPyzSy2,1,8.051492584296824,0.613768676910058,2320.0,1287.0,1318.8988095238096,11635.0,-146669.0,2654.0,2255.0,1851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,04788sNftNUj3p1rSFNUmPCqNeW2,1,-4.160504499916934,5.45152351506772,2345.0,1169.0,1243.1305732484077,47065.0,8448.0,13973.0,10482.0,2527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,04I9jDFer6X7rhFfmy8SIXFebWA3,1,-4.130368968024215,-7.386308168202532,217.0,90.0,132.33333333333334,22367.0,-24698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,04h1PYfpVshE1ADc6AaX8X4vfeM2,1,-3.5515756555922895,5.738390145951881,3442.0,1512.0,1687.5485714285714,65580.0,16541.0,11676.0,5802.0,3854.0,5340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,04l5AI6Wk4WKTycPbBPOm4RkqF12,1,1.1046174715332056,-9.642183004934761,264.0,174.0,145.2941176470588,21918.0,-43662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
